export,import 1,import 2,import 3
Kraft Paper,Shaped Paper,Papermaking Machines,Electric Motor Parts
LCDs,Non-optical Microscopes,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays",Other Measuring Instruments
Laboratory Ceramic Ware,Umbrellas,Neck Ties,Mattresses
Laboratory Glassware,Hand-Woven Tapestries,Collector's Items,Plant foliage
Laboratory Reagents,Chemically Pure Sugars,Rubber Footwear,Newsprint
Large Coated Flat-Rolled Iron,Metalworking Machines,Metalworking Transfer Machines,Flat Flat-Rolled Steel
Large Construction Vehicles,Excavation Machinery,Packing Bags,Carboxylic Acids
Large Flat-Rolled Iron,Interchangeable Tool Parts,Flat Flat-Rolled Steel,Casting Machines
Large Flat-Rolled Stainless Steel,Broadcasting Accessories,Ferroalloys,Electrical Resistors
Large Iron Containers,Other Engines,Other Small Iron Pipes,Other Iron Products
Lead Ore,Flavored Water,Cucumbers,Zinc Ore
Leather Apparel,Artificial Filament Yarn Woven Fabric,Leather further prepared after tanning or crusting of sheep or lamb,Tanned Equine and Bovine Hides
Leather Footwear,Tanned Equine and Bovine Hides,Leather of Other Animals,Leather further prepared after tanning or crusting of animals (other than ovine)
Leather Machinery,LCDs,Tanned Equine and Bovine Hides,Other Edible Animal Products
Legumes,Saddlery,Vegetable Plaiting Materials,Other Vegetables
Lifting Machinery,Felt or Coated Fabric Garments,Other Iron Bars,Other Cloth Articles
Light Fixtures,Electrical Resistors,Copper Ore,Iron Ore
Light Mixed Woven Cotton,Manganese Ore,Ethylene Polymers,Equine and Bovine Hides
Light Pure Woven Cotton,Non-Retail Pure Cotton Yarn,Semi chemical Woodpulp,Equine and Bovine Hides
Light Synthetic Cotton Fabrics,Photographic Paper,Soybeans,Ground Nut Meal
Lighters,Copper Pipes,Electrical Resistors,Copper Bars
Linseed,Lifting Machinery,Iron Radiators,Stone Processing Machines
Liquid Dispersing Machines,Newsprint,Yeast,Monofilament
Liquid Fuel Furnaces,Raw Zinc,Other Iron Bars,Hydrochloric Acid
Liquid Pumps,Other Plastic Products,Wood Kitchenware,Other Iron Products
Locomotive Parts,Industrial Food Preperation Machinery,Industrial Furnaces,Other Cast Iron Products
"Locust beans, seaweed, sugar beet, cane, for food",Chemical Analysis Instruments,Soldering and Welding Machinery,Thermostats
Low-voltage Protection Equipment,Polyacetals,Signaling Glassware,Microphones and Headphones
Lubricating Products,Hair Trimmers,Other Esters,Knit Sweaters
Machinery Having Individual Functions,Carbides,Precious Metal Scraps,Boiler Plants
"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.",Dolomite,Other Sugars,Boiler Plants
Magnesium,Metalworking Transfer Machines,Other Measuring Instruments,Metalworking Machines
Magnesium Carbonate,Tulles and Net Fabric,Carbonates,Delivery Trucks
Malt,Iron Radiators,Plastic Pipes,Prefabricated Buildings
Malt Extract,Scales,Tractors,Monofilament
Maps,Soups and Broths,Railway Passenger Cars,Knit Men's Undergarments
Margarine,Industrial Food Preperation Machinery,Liquid Dispersing Machines,Lifting Machinery
Matches,Non-Retail Artificial Staple Fibers Sewing Thread,Non-Retail Artificial Filament Yarn,Soldering and Welding Machinery
Mattresses,Knitting Machine Accessories,Phenols,Looms
Medical Furniture,Baby Carriages,Laboratory Reagents,Pharmaceutical Animal Products
Medical Instruments,Plastic Housewares,"Vaccines, blood, antisera, toxins and cultures",Portable Lighting
Melons,Vegetable Plaiting Materials,Wood Stakes,Peat
Metal Finishing Machines,Metalworking Machine Parts,Copper Plating,Carbides
Metal Insulating Fittings,Amine Compounds,Vegetable Tanning Extracts,Carboxyamide Compounds
Metal Lathes,Halides,Signaling Glassware,Metalworking Machine Parts
